store,month,month_number,stock_open,stock_close,purchase_smoked,purchase_frozen,sales_smoked,sales_frozen,purchases,revenue,gross_profit,cash_revenue,cashless_revenue,receipts_total,writeoff_smoked,writeoff_frozen,movement,discount,revaluation,household,delivery,cleaning,bonus,service_bonus,extra_pay,driver_cash,utilities_cash,other_cash_expenses,cash_operating_total,driver_cashless,utilities_cashless,rent,bank_fee_raw,gross_profit_tax_raw,salary_cashless,payroll_tax,vacation_cashless,vacation_tax,salary_cash,vacation_cash,personal_income_tax_raw,bank_fee,gross_profit_tax,personal_income_tax,driver_total,utilities_total,payroll_total,net_profit,frozen_sales_share,smoked_markup,frozen_markup,inventory_effect
Л76,Июль,7,726176.0,562248.0,872777.0,451728.0,1091224.0,643220.0,1324505.0,1734444.0,409939.0,217748.0,1642737.0,1860485.0,37334.0,0.0,0.0,553.0,0.0,2199.0,0.0,4000.0,12000.0,3000.0,0.0,0.0,0.0,0.0,21199.0,13000.0,30000.0,50000.0,-32854.74,-49192.68,52635.0,26317.0,0.0,0.0,57683.0,0.0,-17354.04,32854.74,49192.68,17354.04,13000.0,30000.0,153989.04,59703.540000000015,0.37085083173627975,0.25028959287423935,0.42390996351786914,-553.0
Л76,Август,8,562248.0,701168.0,1141267.0,623216.0,1426983.0,907063.0,1764483.0,2334046.0,569563.0,188505.0,1938001.0,2126506.0,68620.0,0.0,0.0,0.0,0.0,2139.0,0.0,3866.0,0.0,3000.0,0.0,0.0,0.0,0.0,9005.0,13000.0,30000.0,50000.0,-38760.02000000001,-68347.56,52635.0,26318.0,0.0,0.0,54152.0,0.0,-13894.54,38760.02000000001,68347.56,13894.54,13000.0,30000.0,146999.54,213450.87999999998,0.3886225892720195,0.25034983049540555,0.4554552514697954,0.0
К49,Январь,1,687468.0,970347.0,835273.0,896538.0,1055424.0,1312678.0,1731811.0,2368102.0,636291.0,298644.0,1769634.0,2068278.0,12761.0,1899.0,0.0,4030.0,1745.0,510.0,0.0,7000.0,6000.0,8000.0,0.0,0.0,0.0,0.0,21510.0,13000.0,40000.0,115000.0,-35392.68000000001,-76354.91999999998,105270.0,0.0,0.0,0.0,0.0,0.0,-4732.2,35392.68000000001,76354.91999999998,4732.2,13000.0,40000.0,110002.2,223132.2,0.5543164948131457,0.2635677197754507,0.4641632591145049,-2285.0
К49,Февраль,2,970347.0,850164.0,815760.0,859444.0,1035109.0,1277231.0,1675204.0,2312340.0,637136.0,390314.0,2014157.0,2404471.0,25383.0,2321.0,-4410.0,8896.0,12958.0,2483.0,0.0,7000.0,0.0,8000.0,0.0,0.0,0.0,0.0,17483.0,13000.0,40000.0,115000.0,-40283.14,-76456.32,105268.0,52634.0,0.0,0.0,0.0,0.0,-3846.2599999999998,40283.14,76456.32,3846.2599999999998,13000.0,40000.0,161748.26,170844.27999999997,0.5523543250560039,0.26888913405903697,0.4861131149906218,-348.0
К49,Март,3,850164.0,937381.0,946796.0,894980.0,1190139.0,1326581.0,1841776.0,2516720.0,674944.0,377337.0,2048161.0,2425498.0,2838.0,1920.0,0.0,2747.0,3500.0,837.0,0.0,7000.0,0.0,8000.0,0.0,0.0,0.0,0.0,15837.0,13000.0,40000.0,115000.0,-40963.22,-80993.28,105270.0,52635.0,0.0,0.0,3363.0,0.0,-4224.0,40963.22,80993.28,4224.0,13000.0,40000.0,165492.0,201738.5,0.5271071076639435,0.25701735115061747,0.4822465306487296,753.0
К49,Апрель,4,937381.0,801764.0,929315.0,683291.0,1174149.0,996267.0,1612606.0,2170416.0,557810.0,379246.0,1906554.0,2285800.0,16717.0,1042.0,0.0,6984.0,4510.0,881.0,0.0,7000.0,6000.0,8000.0,0.0,0.0,0.0,0.0,21881.0,13000.0,45334.0,115000.0,-38131.08,-66937.2,105270.0,52635.0,0.0,0.0,0.0,0.0,-4813.82,38131.08,66937.2,4813.82,13000.0,45334.0,162718.82,93765.89999999997,0.4590212198951722,0.2634564168231439,0.458042034799229,-2474.0
К49,Май,5,801764.0,810607.0,955381.0,648938.0,1211698.0,939544.0,1604319.0,2151242.0,546923.0,360613.0,1744687.0,2105300.0,38329.0,0.0,0.0,1820.0,3050.0,613.0,0.0,7000.0,0.0,8000.0,0.0,0.0,0.0,0.0,15613.0,13000.0,45500.0,115000.0,-34893.740000000005,-65630.75999999998,105270.0,52635.0,0.0,0.0,10200.0,0.0,-5678.860000000001,34893.740000000005,65630.75999999998,5678.860000000001,13000.0,45500.0,173783.86,83501.64000000003,0.4367449129386652,0.26828773023537206,0.4478178192677883,1230.0
К49,Июнь,6,810607.0,781688.0,845506.0,619702.0,1069427.0,889676.0,1465208.0,1959103.0,493895.0,321682.0,1623212.0,1944894.0,39222.0,819.0,0.0,3087.0,0.0,816.0,0.0,7000.0,0.0,8000.0,0.0,0.0,0.0,0.0,15816.0,13000.0,45500.0,115000.0,-32464.240000000005,-59267.4,105270.0,52635.0,93431.0,46715.0,0.0,0.0,-3479.52,32464.240000000005,59267.4,3479.52,13000.0,45500.0,301530.52,-89502.15999999999,0.45412415784162447,0.2648366776817669,0.4356513291872545,-3087.0
К49,Июль,7,781688.0,835921.0,831817.0,643104.0,1043974.0,917138.0,1474921.0,1961112.0,486191.0,345000.0,1554445.0,1899445.0,4528.0,1980.0,0.0,926.0,0.0,0.0,0.0,7000.0,12000.0,10000.0,0.0,0.0,0.0,0.0,29000.0,13000.0,45500.0,115000.0,-31088.9,-58342.920000000006,52634.0,26316.0,93430.0,46715.0,55900.0,0.0,-18678.0,31088.9,58342.920000000006,18678.0,13000.0,45500.0,293673.0,-101393.82,0.46766222428907683,0.2550524935172039,0.4261114843011395,-926.0
К49,Август,8,835921.0,873577.0,876215.0,688747.0,1092383.0,997878.0,1564962.0,2090261.0,525299.0,365972.0,1663544.0,2029516.0,25189.0,0.0,0.0,0.0,2100.0,1612.0,0.0,7000.0,0.0,10000.0,0.0,0.0,0.0,9360.0,27972.0,13000.0,45500.0,115000.0,-33270.880000000005,-63035.880000000005,16195.0,8097.0,0.0,0.0,92300.0,0.0,-26459.84,33270.880000000005,63035.880000000005,26459.84,13000.0,45500.0,143051.84,84468.4,0.4773939713748666,0.24670657315841432,0.44883099309325486,2100.0
